city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,id
Edmonton,Edmonton,AB,Alberta,53.5344,-113.4903,1151635,1320.4,America/Edmonton,1,T5X T5Y T5Z T5P T5R T5S T5T T5V T5W T5H T5J T5K T5L T5M T5N T5A T5B T5C T5E T5G T6Y T6X T6T T6W T6V T6P T6S T6R T6M T6L T6N T6H T6K T6J T6E T6G T6A T6C T6B,1124290735
Victoria,Victoria,BC,British Columbia,48.4283,-123.3647,363222,4722.3,America/Vancouver,1,V9A V8T V8W V8V V8S V8R,1124147219
Winnipeg,Winnipeg,MB,Manitoba,49.8844,-97.1464,758515,1623.3,America/Winnipeg,1,R2N R2M R2L R2K R2J R2H R2G R2C R2Y R2X R2W R2V R2R R2P R3L R3M R3N R3H R3J R3K R3E R3G R3A R3B R3X R3Y R3T R3V R3W R3P R3R R3S,1124224963
Fredericton,Fredericton,NB,New Brunswick,45.9636,-66.6431,64614,471.3,America/Moncton,3,E3G E3C E3B E3A,1124061289
St. John's,St. John's,NL,Newfoundland and Labrador,47.4817,-52.7971,185565,247.8,America/St_Johns,2,A1H A1S A1E A1G A1A A1C A1B,1124741456
Halifax,Halifax,NS,Nova Scotia,44.6475,-63.5906,439819,80.3,America/Halifax,1,B2Z B2Y B2X B2W B2V B2T B2S B2R B3Z B3T B3V B3P B3R B3S B3L B3M B3N B3H B3J B3K B3E B3G B3A B3B B0J B0N B4E B4G B4A B4C B4B,1124130981
Toronto,Toronto,ON,Ontario,43.7417,-79.3733,5647656,4427.8,America/Toronto,1,M5T M5V M5P M5S M5R M5E M5G M5A M5C M5B M5M M5N M5H M5J M4X M4Y M4R M4S M4P M4V M4W M4T M4J M4K M4H M4N M4L M4M M4B M4C M4A M4G M4E M3N M3M M3L M3K M3J M3H M3C M3B M3A M2P M2R M2L M2M M2N M2H M2J M2K M1C M1B M1E M1G M1H M1K M1J M1M M1L M1N M1P M1S M1R M1T M1W M1V M1X M9P M9R M9W M9V M9M M9L M9N M9A M9C M9B M6P M6R M6S M6A M6B M6C M6E M6G M6H M6J M6K M6L M6M M6N M8Z M8X M8Y M8V M8W,1124279679
Charlottetown,Charlottetown,PE,Prince Edward Island,46.2403,-63.1347,52390,876.6,America/Halifax,3,C1C C1A C1E,1124897699
Montreal,Montreal,QC,Quebec,45.5089,-73.5617,3675219,4833.5,America/Toronto,1,H1X H1Y H1Z H1P H1R H1S H1T H1V H1W H1H H1J H1K H1L H1M H1N H1A H1B H1C H1E H1G H2Y H2X H2Z H2T H2W H2V H2P H2S H2R H2M H2L H2N H2H H2K H2J H2E H2G H2A H2C H2B H3B H3C H3A H3G H3E H3J H3K H3H H3N H3L H3M H3R H3S H3V H3W H3T H3X H4G H4E H4C H4B H4A H4N H4M H4L H4K H4J H4H H4V H4T H4S H4R H4P H8N H8S H8R H8P H8T H8Z H8Y H9A H9E H9H H9J H9K H9C,1124586170
Regina,Regina,SK,Saskatchewan,50.4547,-104.6067,226404,1266.2,America/Regina,2,S4N S4T S4V S4W S4P S4R S4S S4X S4Y S4Z,1124342541
Yellowknife,Yellowknife,NT,Northwest Territories,62.4709,-114.4053,20340,196.8,America/Yellowknife,3,X1A,1124208917
Iqaluit,Iqaluit,NU,Nunavut,63.7598,-68.5107,7740,147.4,America/Iqaluit,4,X0A,1124379539
Whitehorse,Whitehorse,YT,Yukon,60.7029,-135.0691,28201,68.1,America/Whitehorse,3,Y1A,1124348186
